Start,End,Status,Comments
2020-01-13T04:45:49.466722Z,2020-01-13T04:45:49.466722Z,night noise,
2020-01-13T07:00:00Z,2020-01-13T07:00:00Z,alarm,
2020-01-13T07:50:58.747927Z,2020-01-13T07:50:58.747927Z,out of bed,
2020-01-13T07:55:58.747927Z,2020-01-13T07:55:58.747927Z,caffeine,
2020-01-13T07:55:58.747927Z,2020-01-13T07:55:58.747927Z,chocolate,
2020-01-13T08:35:50.190349Z,2020-01-13T08:35:50.190349Z,meal,breakfast
2020-01-13T08:35:50.190349Z,2020-01-13T08:35:50.190349Z,drink,with breakfast
2020-01-13T16:11:13.319364Z,2020-01-13T16:11:13.319364Z,snack,
2020-01-13T23:31:00.203040Z,2020-01-13T23:31:00.203040Z,sleep aid,
2020-01-14T00:17:32.638096Z,2020-01-14T00:17:32.638096Z,lights off,
2020-01-14T00:23:51.901018Z,2020-01-14T00:23:51.901018Z,in bed,
2020-01-14T00:33:02.499029Z,2020-01-14T07:03:00Z,asleep,
2020-01-14T07:00:00Z,2020-01-14T07:00:00Z,alarm,
2020-01-14T08:16:40.967894Z,2020-01-14T08:16:40.967894Z,out of bed,
2020-01-14T08:21:40.967894Z,2020-01-14T08:21:40.967894Z,caffeine,
2020-01-14T08:32:26.667102Z,2020-01-14T08:32:26.667102Z,meal,breakfast
2020-01-14T11:09:57.461533Z,2020-01-14T11:09:57.461533Z,meal,lunch
2020-01-14T14:44:15.708028Z,2020-01-14T14:44:15.708028Z,chocolate,
2020-01-14T17:09:26.890924Z,2020-01-14T17:09:26.890924Z,meal,dinner
2020-01-14T23:59:29.629820Z,2020-01-14T23:59:29.629820Z,in bed,
2020-01-15T00:10:18.265762Z,2020-01-15T07:03:00Z,asleep,
2020-01-15T00:10:18.265762Z,2020-01-15T00:10:18.265762Z,lights off,
2020-01-15T07:00:00Z,2020-01-15T07:00:00Z,alarm,
2020-01-15T07:08:20.208517Z,2020-01-15T07:08:20.208517Z,out of bed,
2020-01-15T07:13:20.208517Z,2020-01-15T07:13:20.208517Z,meal,breakfast
2020-01-15T07:13:20.208517Z,2020-01-15T07:13:20.208517Z,drink,with breakfast
2020-01-15T10:55:46.376698Z,2020-01-15T10:55:46.376698Z,meal,lunch
2020-01-15T13:49:41.332659Z,2020-01-15T13:49:41.332659Z,toilet,
2020-01-15T16:16:44.313058Z,2020-01-15T16:16:44.313058Z,toilet,
2020-01-15T16:22:10.204968Z,2020-01-15T16:22:10.204968Z,meal,dinner
2020-01-15T17:59:31.756871Z,2020-01-15T17:59:31.756871Z,snack,
2020-01-15T19:32:57.929631Z,2020-01-15T19:32:57.929631Z,caffeine,
2020-01-15T23:17:18.004917Z,2020-01-15T23:17:18.004917Z,lights off,
2020-01-15T23:41:42.488263Z,2020-01-15T23:41:42.488263Z,in bed,
2020-01-15T23:42:11.081385Z,2020-01-16T07:03:00Z,asleep,
2020-01-16T07:00:00Z,2020-01-16T07:00:00Z,alarm,
2020-01-16T07:44:36.182430Z,2020-01-16T07:44:36.182430Z,out of bed,
2020-01-16T08:07:23.897987Z,2020-01-16T08:07:23.897987Z,meal,breakfast
2020-01-16T08:07:23.897987Z,2020-01-16T08:07:23.897987Z,drink,with breakfast
2020-01-16T09:41:20.585097Z,2020-01-16T09:41:20.585097Z,caffeine,
2020-01-16T09:53:47.593380Z,2020-01-16T09:53:47.593380Z,toilet,
2020-01-16T10:35:00.612276Z,2020-01-16T10:35:00.612276Z,meal,lunch
2020-01-16T13:52:53.949669Z,2020-01-16T13:52:53.949669Z,meal,dinner
2020-01-16T19:23:30.031580Z,2020-01-16T19:23:30.031580Z,snack,
2020-01-16T21:25:22.404609Z,2020-01-16T21:25:22.404609Z,toilet,
2020-01-16T22:07:23.726363Z,2020-01-16T22:07:23.726363Z,sleep aid,
2020-01-16T23:00:31.880566Z,2020-01-16T23:00:31.880566Z,in bed,
2020-01-16T23:31:33.655770Z,2020-01-16T23:31:33.655770Z,lights off,
2020-01-16T23:46:30.954371Z,2020-01-17T07:03:00Z,asleep,
2020-01-17T07:00:00Z,2020-01-17T07:00:00Z,alarm,
2020-01-17T07:19:52.169368Z,2020-01-17T07:19:52.169368Z,out of bed,
2020-01-17T07:47:12.003619Z,2020-01-17T07:47:12.003619Z,meal,breakfast
2020-01-17T07:47:12.003619Z,2020-01-17T07:47:12.003619Z,drink,with breakfast
2020-01-17T08:55:59.978833Z,2020-01-17T08:55:59.978833Z,caffeine,
2020-01-17T10:48:37.214179Z,2020-01-17T10:48:37.214179Z,snack,
2020-01-17T10:51:41.037932Z,2020-01-17T10:51:41.037932Z,meal,lunch
2020-01-17T12:12:55.751107Z,2020-01-17T12:12:55.751107Z,chocolate,
2020-01-17T14:35:19.517591Z,2020-01-17T14:35:19.517591Z,meal,dinner
2020-01-17T21:28:46.377052Z,2020-01-17T21:28:46.377052Z,sleep aid,
2020-01-17T21:50:29.795249Z,2020-01-17T21:50:29.795249Z,lights off,
2020-01-17T22:07:46.080258Z,2020-01-17T22:07:46.080258Z,in bed,
2020-01-17T22:59:49.588425Z,2020-01-18T06:51:55.549984Z,asleep,
2020-01-18T07:32:11.871994Z,2020-01-18T07:32:11.871994Z,out of bed,
2020-01-18T08:20:18.038328Z,2020-01-18T08:20:18.038328Z,drink,with breakfast
2020-01-18T10:39:19.051374Z,2020-01-18T10:39:19.051374Z,caffeine,
2020-01-18T12:32:50.947419Z,2020-01-18T12:32:50.947419Z,chocolate,
2020-01-18T16:48:16.180027Z,2020-01-18T16:48:16.180027Z,meal,dinner
2020-01-18T17:13:03.411817Z,2020-01-18T17:13:03.411817Z,snack,
2020-01-19T00:22:00.810941Z,2020-01-19T00:22:00.810941Z,lights off,
2020-01-19T00:40:29.167224Z,2020-01-19T00:40:29.167224Z,in bed,
2020-01-19T01:05:18.624681Z,2020-01-19T09:27:41.662586Z,asleep,
2020-01-19T09:56:57.065044Z,2020-01-19T09:56:57.065044Z,out of bed,
2020-01-19T10:09:45.040868Z,2020-01-19T10:09:45.040868Z,meal,breakfast
2020-01-19T12:52:55.210325Z,2020-01-19T12:52:55.210325Z,meal,lunch
2020-01-19T13:33:01.744730Z,2020-01-19T13:33:01.744730Z,chocolate,
2020-01-19T15:50:21.749372Z,2020-01-19T15:50:21.749372Z,meal,dinner
2020-01-19T16:52:04.221441Z,2020-01-19T16:52:04.221441Z,caffeine,
2020-01-19T20:40:15.483502Z,2020-01-19T20:40:15.483502Z,snack,
2020-01-19T23:48:28.844701Z,2020-01-19T23:48:28.844701Z,sleep aid,
2020-01-20T00:32:17.132868Z,2020-01-20T00:32:17.132868Z,lights off,
2020-01-20T00:42:46.111658Z,2020-01-20T00:42:46.111658Z,in bed,
2020-01-20T00:54:47.318347Z,2020-01-20T07:03:00Z,asleep,
2020-01-20T07:00:00Z,2020-01-20T07:00:00Z,alarm,
2020-01-20T07:33:16.125965Z,2020-01-20T07:33:16.125965Z,out of bed,
2020-01-20T08:21:57.570566Z,2020-01-20T08:21:57.570566Z,meal,breakfast
2020-01-20T08:21:57.570566Z,2020-01-20T08:21:57.570566Z,drink,with breakfast
2020-01-20T09:17:49.403362Z,2020-01-20T09:17:49.403362Z,caffeine,
2020-01-20T11:29:37.872094Z,2020-01-20T11:29:37.872094Z,meal,lunch
2020-01-20T12:44:05.054562Z,2020-01-20T12:44:05.054562Z,chocolate,
2020-01-20T13:59:57.624230Z,2020-01-20T13:59:57.624230Z,snack,
2020-01-20T16:20:59.470877Z,2020-01-20T16:20:59.470877Z,meal,dinner
2020-01-20T16:34:02.754465Z,2020-01-20T16:34:02.754465Z,toilet,
2020-01-20T17:00:27.728813Z,2020-01-20T17:00:27.728813Z,alcohol,
2020-01-20T21:43:13.287154Z,2020-01-20T21:43:13.287154Z,sleep aid,
2020-01-20T22:44:05.480067Z,2020-01-20T22:44:05.480067Z,in bed,
2020-01-20T22:45:35.167765Z,2020-01-20T22:45:35.167765Z,lights off,
2020-01-21T00:13:22.041540Z,2020-01-21T07:03:00Z,asleep,
2020-01-21T07:00:00Z,2020-01-21T07:00:00Z,alarm,
2020-01-21T07:26:10.914956Z,2020-01-21T07:26:10.914956Z,out of bed,
2020-01-21T07:31:10.914956Z,2020-01-21T07:31:10.914956Z,chocolate,
2020-01-21T08:13:32.614275Z,2020-01-21T08:13:32.614275Z,meal,breakfast
2020-01-21T08:13:32.614275Z,2020-01-21T08:13:32.614275Z,drink,with breakfast
2020-01-21T10:49:23.547732Z,2020-01-21T10:49:23.547732Z,meal,lunch
2020-01-21T15:34:09.905608Z,2020-01-21T15:34:09.905608Z,meal,dinner
2020-01-21T20:30:15.595156Z,2020-01-21T20:30:15.595156Z,snack,
2020-01-21T23:51:16.604294Z,2020-01-21T23:51:16.604294Z,lights off,
2020-01-22T00:29:43.785556Z,2020-01-22T00:29:43.785556Z,in bed,
2020-01-22T00:57:58.002171Z,2020-01-22T07:03:00Z,asleep,
2020-01-22T07:00:00Z,2020-01-22T07:00:00Z,alarm,
2020-01-22T07:41:55.475607Z,2020-01-22T07:41:55.475607Z,out of bed,
2020-01-22T08:29:59.991258Z,2020-01-22T08:29:59.991258Z,meal,breakfast
2020-01-22T08:29:59.991258Z,2020-01-22T08:29:59.991258Z,drink,with breakfast
2020-01-22T09:14:04.760450Z,2020-01-22T09:14:04.760450Z,chocolate,
2020-01-22T11:31:33.221206Z,2020-01-22T11:31:33.221206Z,snack,
2020-01-22T11:32:01.446028Z,2020-01-22T11:32:01.446028Z,toilet,
2020-01-22T11:38:11.835481Z,2020-01-22T11:38:11.835481Z,meal,lunch
2020-01-22T11:49:15.200771Z,2020-01-22T11:49:15.200771Z,caffeine,
2020-01-22T15:43:03.384287Z,2020-01-22T15:43:03.384287Z,meal,dinner
2020-01-22T23:11:15.906857Z,2020-01-22T23:11:15.906857Z,in bed,
2020-01-22T23:20:16.085681Z,2020-01-22T23:20:16.085681Z,lights off,
2020-01-22T23:31:52.496036Z,2020-01-23T07:03:00Z,asleep,
2020-01-23T07:00:00Z,2020-01-23T07:00:00Z,alarm,
2020-01-23T07:20:32.463320Z,2020-01-23T07:20:32.463320Z,out of bed,
2020-01-23T07:20:32.463320Z,2020-01-23T07:20:32.463320Z,toilet,
2020-01-23T07:34:48.180264Z,2020-01-23T07:34:48.180264Z,meal,breakfast
2020-01-23T07:34:48.180264Z,2020-01-23T07:34:48.180264Z,drink,with breakfast
2020-01-23T10:09:25.215745Z,2020-01-23T10:09:25.215745Z,meal,lunch
2020-01-23T12:11:02.706266Z,2020-01-23T12:11:02.706266Z,caffeine,
2020-01-23T12:34:24.180210Z,2020-01-23T12:34:24.180210Z,snack,
2020-01-23T15:32:15.148735Z,2020-01-23T15:32:15.148735Z,meal,dinner
2020-01-23T15:36:04.119848Z,2020-01-23T15:36:04.119848Z,chocolate,
2020-01-24T03:03:18.387237Z,2020-01-24T03:03:18.387237Z,in bed,
2020-01-24T03:12:27.862873Z,2020-01-24T03:12:27.862873Z,lights off,
2020-01-24T03:22:37.412175Z,2020-01-24T07:03:00Z,asleep,
2020-01-24T07:00:00Z,2020-01-24T07:00:00Z,alarm,
2020-01-24T07:49:28.269860Z,2020-01-24T07:49:28.269860Z,out of bed,
2020-01-24T07:54:28.269860Z,2020-01-24T07:54:28.269860Z,caffeine,
2020-01-24T07:54:28.269860Z,2020-01-24T07:54:28.269860Z,chocolate,
2020-01-24T08:21:24.602046Z,2020-01-24T08:21:24.602046Z,meal,breakfast
2020-01-24T08:21:24.602046Z,2020-01-24T08:21:24.602046Z,drink,with breakfast
2020-01-24T15:53:31.513716Z,2020-01-24T15:53:31.513716Z,meal,dinner
2020-01-24T18:30:19.622510Z,2020-01-24T18:30:19.622510Z,snack,
2020-01-24T23:57:35.285726Z,2020-01-25T08:13:03.280640Z,asleep,
2020-01-24T23:57:35.285726Z,2020-01-24T23:57:35.285726Z,in bed,
2020-01-24T23:57:35.285726Z,2020-01-24T23:57:35.285726Z,lights off,
2020-01-25T01:43:59.679475Z,2020-01-25T01:43:59.679475Z,night noise,
2020-01-25T09:14:38.564955Z,2020-01-25T09:14:38.564955Z,out of bed,
2020-01-25T10:08:14.392446Z,2020-01-25T10:08:14.392446Z,meal,breakfast
2020-01-25T10:08:14.392446Z,2020-01-25T10:08:14.392446Z,drink,with breakfast
2020-01-25T12:16:10.090502Z,2020-01-25T12:16:10.090502Z,meal,lunch
2020-01-25T13:46:13.037163Z,2020-01-25T13:46:13.037163Z,caffeine,
2020-01-25T15:25:25.884523Z,2020-01-25T15:25:25.884523Z,toilet,
2020-01-25T18:57:16.654063Z,2020-01-25T18:57:16.654063Z,snack,
2020-01-26T00:06:07.977061Z,2020-01-26T00:06:07.977061Z,sleep aid,
2020-01-26T01:02:31.020451Z,2020-01-26T01:02:31.020451Z,in bed,
2020-01-26T01:20:24.690037Z,2020-01-26T01:20:24.690037Z,lights off,
2020-01-26T01:40:26.860519Z,2020-01-26T09:11:49.403337Z,asleep,
2020-01-26T03:53:45.612846Z,2020-01-26T03:53:45.612846Z,night noise,
2020-01-26T09:38:47.257862Z,2020-01-26T09:38:47.257862Z,out of bed,
2020-01-26T09:43:47.257862Z,2020-01-26T09:43:47.257862Z,chocolate,
2020-01-26T09:52:42.580911Z,2020-01-26T09:52:42.580911Z,meal,breakfast
2020-01-26T11:25:07.837828Z,2020-01-26T11:25:07.837828Z,toilet,
2020-01-26T20:41:18.819473Z,2020-01-26T20:41:18.819473Z,alcohol,
2020-01-26T22:55:11.662233Z,2020-01-26T22:55:11.662233Z,sleep aid,
2020-01-26T23:28:52.258391Z,2020-01-26T23:28:52.258391Z,in bed,
2020-01-26T23:30:22.908042Z,2020-01-27T07:03:00Z,asleep,
2020-01-26T23:30:22.908042Z,2020-01-26T23:30:22.908042Z,lights off,
2020-01-27T07:00:00Z,2020-01-27T07:00:00Z,alarm,
2020-01-27T07:38:29.872356Z,2020-01-27T07:38:29.872356Z,out of bed,
2020-01-27T08:14:08.879531Z,2020-01-27T08:14:08.879531Z,drink,with breakfast
2020-01-27T11:08:14.058130Z,2020-01-27T11:08:14.058130Z,meal,lunch
2020-01-27T11:49:23.006039Z,2020-01-27T11:49:23.006039Z,caffeine,
2020-01-27T12:39:41.588523Z,2020-01-27T12:39:41.588523Z,snack,
2020-01-27T15:48:50.138141Z,2020-01-27T15:48:50.138141Z,chocolate,
2020-01-27T17:46:27.704441Z,2020-01-27T17:46:27.704441Z,toilet,
2020-01-28T00:16:47.418723Z,2020-01-28T00:16:47.418723Z,sleep aid,
2020-01-28T00:56:11.231890Z,2020-01-28T00:56:11.231890Z,lights off,
2020-01-28T01:19:22.180942Z,2020-01-28T01:19:22.180942Z,in bed,
2020-01-28T01:48:04.465110Z,2020-01-28T07:03:00Z,asleep,
2020-01-28T07:00:00Z,2020-01-28T07:00:00Z,alarm,
2020-01-28T07:28:27.174963Z,2020-01-28T07:28:27.174963Z,out of bed,
2020-01-28T08:04:51.067928Z,2020-01-28T08:04:51.067928Z,drink,with breakfast
2020-01-28T10:33:43.584630Z,2020-01-28T10:33:43.584630Z,meal,lunch
2020-01-28T11:53:12.302525Z,2020-01-28T11:53:12.302525Z,chocolate,
2020-01-28T15:11:28.911283Z,2020-01-28T15:11:28.911283Z,snack,
2020-01-28T17:02:15.296439Z,2020-01-28T17:02:15.296439Z,meal,dinner
2020-01-28T17:51:59.385049Z,2020-01-28T17:51:59.385049Z,caffeine,
2020-01-28T23:51:05.981134Z,2020-01-28T23:51:05.981134Z,lights off,
2020-01-28T23:55:43.992427Z,2020-01-28T23:55:43.992427Z,in bed,
2020-01-29T00:50:02.932031Z,2020-01-29T07:03:00Z,asleep,
2020-01-29T07:00:00Z,2020-01-29T07:00:00Z,alarm,
